
Episode 62: steps = 199, reward = 0, avg_plan_time = 0.027161472737789155, avg_dist = 0.04267550291183747
Episode 63: steps = 48, reward = 100, avg_plan_time = 0.02712342276104859, avg_dist = 0.1534971422538562
Episode 64: steps = 199, reward = 0, avg_plan_time = 0.032294648038223385, avg_dist = 0.042721160963454075
Episode 65: steps = 199, reward = 0, avg_plan_time = 0.0341387539729476, avg_dist = 0.033914901819437085
Episode 66: steps = 35, reward = 100, avg_plan_time = 0.03242439409303996, avg_dist = 0.13078083556087605
Episode 67: steps = 199, reward = 0, avg_plan_time = 0.03210695336572826, avg_dist = 0.04650983446999514
Episode 68: steps = 46, reward = 100, avg_plan_time = 0.03114849733228379, avg_dist = 0.20201518407467597
Episode 69: steps = 45, reward = 100, avg_plan_time = 0.032755196054020656, avg_dist = 0.08956218079096413
Episode 70: steps = 70, reward = 100, avg_plan_time = 0.03446150471416997, avg_dist = 0.084341472509616
Episode 71: steps = 42, reward = 100, avg_plan_time = 0.03317156797924707, avg_dist = 0.10636100490668722
Episode 72: steps = 27, reward = 100, avg_plan_time = 0.027411377390048335, avg_dist = 0.07831309087102434
Episode 73: steps = 199, reward = 0, avg_plan_time = 0.03272906352765858, avg_dist = 0.026528472590652708
Episode 74: steps = 199, reward = 0, avg_plan_time = 0.03196887023746967, avg_dist = 0.03155804298215647
Episode 75: steps = 44, reward = 100, avg_plan_time = 0.033735598540968366, avg_dist = 0.11775845945173595
Episode 76: steps = 76, reward = 100, avg_plan_time = 0.032831448481067435, avg_dist = 0.0866215021686535
Episode 77: steps = 20, reward = 100, avg_plan_time = 0.03196539995925767, avg_dist = 0.11058602065339829
Episode 78: steps = 199, reward = 0, avg_plan_time = 0.03307902485132217, avg_dist = 0.04437797912052343
Episode 79: steps = 36, reward = 100, avg_plan_time = 0.031611272310082976, avg_dist = 0.10667496551376944
Episode 80: steps = 38, reward = 100, avg_plan_time = 0.028874987736344337, avg_dist = 0.14608220688790952
Episode 81: steps = 199, reward = 0, avg_plan_time = 0.02997170213609934, avg_dist = 0.05543370414665727
Episode 82: steps = 199, reward = 0, avg_plan_time = 0.032574957041069864, avg_dist = 0.030473245751291213
Episode 83: steps = 199, reward = 0, avg_plan_time = 0.03233822256326675, avg_dist = 0.04393392219224685
Episode 84: steps = 52, reward = 100, avg_plan_time = 0.03338644860909795, avg_dist = 0.29395923390082246
Episode 85: steps = 199, reward = 0, avg_plan_time = 0.030998682780191304, avg_dist = 0.11854182380479332
Episode 86: steps = 199, reward = 0, avg_plan_time = 0.032151606902480125, avg_dist = 0.041793540980758326
Episode 87: steps = 198, reward = 100, avg_plan_time = 0.033748641310624744, avg_dist = 0.2644273247403402
Episode 88: steps = 199, reward = 0, avg_plan_time = 0.033432785337790843, avg_dist = 0.08018270128300198
Episode 89: steps = 59, reward = 100, avg_plan_time = 0.03605839340016246, avg_dist = 0.20979253999988126
Episode 90: steps = 79, reward = 100, avg_plan_time = 0.0315084611531347, avg_dist = 0.21141166217107918
Episode 91: steps = 47, reward = 100, avg_plan_time = 0.03253456744520614, avg_dist = 0.1978208465691407
Episode 92: steps = 199, reward = 0, avg_plan_time = 0.032960475189611316, avg_dist = 0.05607687802742922
Episode 93: steps = 96, reward = 100, avg_plan_time = 0.03331174359647269, avg_dist = 0.20101399175439394
Episode 94: steps = 127, reward = 100, avg_plan_time = 0.03329985671734903, avg_dist = 0.23974703091338673
Episode 95: steps = 199, reward = 0, avg_plan_time = 0.033957681264728305, avg_dist = 0.04207659971492235
Episode 96: steps = 32, reward = 100, avg_plan_time = 0.03192453712902286, avg_dist = 0.24406769650718352
Episode 97: steps = 199, reward = 0, avg_plan_time = 0.03121941805817187, avg_dist = 0.05874639838080885
Episode 98: steps = 65, reward = 100, avg_plan_time = 0.03261739238532203, avg_dist = 0.1537783295901145
Episode 99: steps = 23, reward = 100, avg_plan_time = 0.03542083556142946, avg_dist = 0.14283875252650086
